event_time,available_time,retrieval_time,open,high,low,close,adj_close,volume
2016-02-24 00:00:00+00:00,2016-02-25T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,48421.98828125,48421.98828125,47388.1484375,47995.8203125,47995.8203125,0
2016-02-25 00:00:00+00:00,2016-02-26T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,47995.8203125,48575.26171875,47995.8203125,48373.171875,48373.171875,0
2016-02-26 00:00:00+00:00,2016-02-27T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,48373.171875,49463.6484375,48373.171875,49429.3984375,49429.3984375,0
2016-02-29 00:00:00+00:00,2016-03-01T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,49429.3984375,49648.859375,48947.44140625,49415.30859375,49415.30859375,0
2016-03-01 00:00:00+00:00,2016-03-02T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,49415.30859375,50408.578125,49415.30859375,50315.08984375,50315.08984375,0
2016-03-02 00:00:00+00:00,2016-03-03T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,50315.08984375,50966.9296875,50315.08984375,50966.9296875,50966.9296875,0
2016-03-03 00:00:00+00:00,2016-03-04T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,50966.9296875,51839.890625,50966.9296875,51787.01171875,51787.01171875,0
2016-03-04 00:00:00+00:00,2016-03-05T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,51787.01171875,52225.23046875,51751.6484375,52200.7109375,52200.7109375,0
2016-03-07 00:00:00+00:00,2016-03-08T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,52200.7109375,52679.0703125,51927.7109375,52673.7890625,52673.7890625,0
2016-03-08 00:00:00+00:00,2016-03-09T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,52673.7890625,52776.19921875,52220.26171875,52247.83984375,52247.83984375,0
2016-03-09 00:00:00+00:00,2016-03-10T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,52247.83984375,52319.08984375,51445.94140625,51484.4609375,51484.4609375,0
2016-03-10 00:00:00+00:00,2016-03-11T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,51484.4609375,51684.25,51251.3515625,51533.78125,51533.78125,0
2016-03-11 00:00:00+00:00,2016-03-12T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,51533.78125,51909.05078125,51304.5703125,51739.828125,51739.828125,0
2016-03-14 00:00:00+00:00,2016-03-15T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,51739.828125,52498.0,51739.828125,52471.71875,52471.71875,0
2016-03-15 00:00:00+00:00,2016-03-16T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,52471.71875,52471.71875,51780.48828125,52253.7890625,52253.7890625,0
2016-03-16 00:00:00+00:00,2016-03-17T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,52253.7890625,52708.171875,52210.2109375,52685.69921875,52685.69921875,0
